143-AH 	 Q0 	 IZV950112-00007      	 0       	 51.9465 	 BM25
143-AH 	 Q0 	 IZV950907-00021      	 1       	 45.7173 	 BM25
143-AH 	 Q0 	 IZV950905-00018      	 2       	 43.3810 	 BM25
143-AH 	 Q0 	 IZV950916-00021      	 3       	 40.8027 	 BM25
143-AH 	 Q0 	 IZV950906-00063      	 4       	 37.3860 	 BM25
143-AH 	 Q0 	 IZV950907-00018      	 5       	 35.3793 	 BM25
143-AH 	 Q0 	 IZV950909-00021      	 6       	 34.2323 	 BM25
143-AH 	 Q0 	 IZV951025-00034      	 7       	 33.7630 	 BM25
143-AH 	 Q0 	 IZV950902-00036      	 8       	 31.1880 	 BM25
143-AH 	 Q0 	 IZV951007-00023      	 9       	 25.8842 	 BM25
143-AH 	 Q0 	 IZV950908-00013      	 10      	 25.5410 	 BM25
143-AH 	 Q0 	 IZV950302-00022      	 11      	 24.8688 	 BM25
143-AH 	 Q0 	 IZV950322-00012      	 12      	 24.0067 	 BM25
143-AH 	 Q0 	 IZV951011-00016      	 13      	 23.4038 	 BM25
143-AH 	 Q0 	 IZV950607-00054      	 14      	 22.6431 	 BM25
143-AH 	 Q0 	 IZV950607-00055      	 15      	 22.6431 	 BM25
143-AH 	 Q0 	 IZV950531-00004      	 16      	 22.1845 	 BM25
143-AH 	 Q0 	 IZV950531-00019      	 17      	 22.0482 	 BM25
143-AH 	 Q0 	 IZV950124-00017      	 18      	 21.9207 	 BM25
143-AH 	 Q0 	 IZV950114-00023      	 19      	 21.6745 	 BM25
143-AH 	 Q0 	 IZV950228-00024      	 20      	 21.2312 	 BM25
143-AH 	 Q0 	 IZV950914-00017      	 21      	 21.2217 	 BM25
143-AH 	 Q0 	 IZV950615-00028      	 22      	 21.2083 	 BM25
143-AH 	 Q0 	 IZV950914-00012      	 23      	 20.4210 	 BM25
143-AH 	 Q0 	 IZV950117-00019      	 24      	 20.1622 	 BM25
143-AH 	 Q0 	 IZV950207-00009      	 25      	 20.0651 	 BM25
143-AH 	 Q0 	 IZV950519-00019      	 26      	 19.8556 	 BM25
143-AH 	 Q0 	 IZV951222-00023      	 27      	 19.6512 	 BM25
143-AH 	 Q0 	 IZV950412-00022      	 28      	 19.6371 	 BM25
143-AH 	 Q0 	 IZV950607-00022      	 29      	 19.1959 	 BM25
143-AH 	 Q0 	 IZV950516-00017      	 30      	 19.0253 	 BM25
143-AH 	 Q0 	 IZV950620-00018      	 31      	 18.9037 	 BM25
143-AH 	 Q0 	 IZV950722-00025      	 32      	 18.6661 	 BM25
143-AH 	 Q0 	 IZV950328-00011      	 33      	 18.5257 	 BM25
143-AH 	 Q0 	 IZV950414-00018      	 34      	 18.5190 	 BM25
143-AH 	 Q0 	 IZV950418-00008      	 35      	 17.8183 	 BM25
143-AH 	 Q0 	 IZV950607-00021      	 36      	 17.7018 	 BM25
